"Station Name","QUALICUM R FISH RESEARCH"
"Province","BRITISH COLUMBIA"
"Latitude","49.39"
"Longitude","-124.62"
"Elevation","7.60"
"Climate Identifier","1026565"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","10.5","","2.0","","6.3","","11.7","","0.0","","9.8","","0.0","","9.8","","0","","","","",""
"2010-01-02","2010","01","02","†","8.0","","4.5","","6.3","","11.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-01-03","2010","01","03","†","6.5","","2.5","","4.5","","13.5","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"2010-01-04","2010","01","04","†","6.0","","5.5","","5.8","","12.2","","0.0","","7.8","","0.0","","7.8","","0","","","","",""
"2010-01-05","2010","01","05","†","6.5","","5.0","","5.8","","12.2","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"2010-01-06","2010","01","06","†","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-01-07","2010","01","07","†","5.5","","-1.0","","2.3","","15.7","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2010-01-08","2010","01","08","†","7.0","","3.0","","5.0","","13.0","","0.0","","20.8","","0.0","","20.8","","0","","","","",""
"2010-01-09","2010","01","09","†","9.0","","6.0","","7.5","","10.5","","0.0","","12.6","","0.0","","12.6","","0","","","","",""
"2010-01-10","2010","01","10","†","9.5","","6.5","","8.0","","10.0","","0.0","","44.4","","0.0","","44.4","","0","","","","",""
"2010-01-11","2010","01","11","†","12.0","","7.5","","9.8","","8.2","","0.0","","29.0","","0.0","","29.0","","0","","","","",""
"2010-01-12","2010","01","12","†","10.0","","7.0","","8.5","","9.5","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"2010-01-13","2010","01","13","†","10.0","","4.5","","7.3","","10.7","","0.0","","6.6","","0.0","","6.6","","0","","","","",""
"2010-01-14","2010","01","14","†","8.0","","6.5","","7.3","","10.7","","0.0","","72.0","","0.0","","72.0","","0","","","","",""
"2010-01-15","2010","01","15","†","10.5","","6.0","","8.3","","9.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-01-16","2010","01","16","†","8.0","","3.5","","5.8","","12.2","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2010-01-17","2010","01","17","†","9.0","","1.5","","5.3","","12.7","","0.0","","9.2","","0.0","","9.2","","0","","","","",""
"2010-01-18","2010","01","18","†","10.0","","7.0","","8.5","","9.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2010-01-19","2010","01","19","†","9.5","","3.0","","6.3","","11.7","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2010-01-20","2010","01","20","†","10.5","","5.5","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-01-21","2010","01","21","†","9.0","","4.5","","6.8","","11.2","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2010-01-22","2010","01","22","†","9.5","","1.0","","5.3","","12.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2010-01-23","2010","01","23","†","7.5","","0.5","","4.0","","14.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-01-24","2010","01","24","†","8.0","","3.0","","5.5","","12.5","","0.0","","6.2","","0.0","","6.2","","0","","","","",""
"2010-01-25","2010","01","25","†","7.5","","4.0","","5.8","","12.2","","0.0","","24.8","","0.0","","24.8","","0","","","","",""
"2010-01-26","2010","01","26","†","8.5","","4.0","","6.3","","11.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-01-27","2010","01","27","†","7.5","","2.0","","4.8","","13.2","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"2010-01-28","2010","01","28","†","7.5","","5.0","","6.3","","11.7","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2010-01-29","2010","01","29","†","8.0","","5.0","","6.5","","11.5","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"2010-01-30","2010","01","30","†","8.0","","5.5","","6.8","","11.2","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"2010-01-31","2010","01","31","†","9.0","","5.5","","7.3","","10.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-02-01","2010","02","01","†","7.5","","2.5","","5.0","","13.0","","0.0","","8.0","","0.0","","8.0","","0","","","","",""
"2010-02-02","2010","02","02","†","7.5","","5.5","","6.5","","11.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2010-02-03","2010","02","03","†","7.5","","6.0","","6.8","","11.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2010-02-04","2010","02","04","†","10.5","","4.5","","7.5","","10.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2010-02-05","2010","02","05","†","10.5","","6.0","","8.3","","9.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
